CustomerID,Recency_Days,Frequency_Orders,Monetary_Avg_Order_Value,Tenure_Days,Customer_Age,Acquisition_Channel,Country,Membership_Tier,Returns_Rate,Churn_Status,Future_1Year_CLV
CUST-10000,22,5,73.98,297,42,Organic Search,Germany,Standard,0.239,0,642.59
CUST-10001,136,39,102.77,175,52,Paid Social,United Kingdom,Silver,0.113,0,10714.87
CUST-10002,60,6,45.61,172,26,Paid Social,United Kingdom,Bronze,0.214,0,553.91
CUST-10003,42,11,195.46,235,49,Paid Social,United States,Standard,0.267,0,3820.51
CUST-10004,8,5,122.35,234,56,Paid Social,Germany,Silver,0.594,0,1547.88
CUST-10005,8,4,112.69,260,55,Email Referral,Indonesia,Standard,0.244,0,889.31
CUST-10006,3,25,98.39,56,32,Paid Social,Germany,Bronze,0.054,0,5306.82
CUST-10007,91,22,182.01,825,62,Paid Social,Germany,Standard,0.127,0,7136.31
CUST-10008,42,26,112.24,92,63,Email Referral,Australia,Standard,0.01,0,5204.64
CUST-10009,56,5,129.38,89,54,Google Ads,United Kingdom,Bronze,0.086,1,320.29
CUST-10010,1,9,128.08,212,43,Paid Social,United Kingdom,Silver,0.194,0,3082.53
CUST-10011,158,18,169.22,606,48,Direct,Germany,Bronze,0.061,0,6619.3
CUST-10012,81,22,162.41,243,47,Paid Social,Germany,Standard,0.26,0,6417.97
CUST-10013,11,15,240.44,188,19,Organic Search,Germany,Silver,0.28,0,9742.75
CUST-10014,10,5,224.21,164,24,Email Referral,United Kingdom,Bronze,0.27,0,2408.23
CUST-10015,10,13,97.51,32,47,Organic Search,Indonesia,Bronze,0.208,0,2796.23
CUST-10016,17,8,318.9,237,50,Google Ads,France,Standard,0.187,0,4661.04
CUST-10017,34,11,161.22,128,65,Paid Social,United Kingdom,Bronze,0.107,0,3823.9
CUST-10018,26,12,355.66,534,56,Email Referral,United Kingdom,Standard,0.039,0,7634.94
CUST-10019,16,16,149.5,68,64,Email Referral,Indonesia,Standard,0.133,0,4300.12
CUST-10020,43,10,102.99,122,55,Organic Search,United Kingdom,Silver,0.06,0,2625.23
CUST-10021,7,9,90.2,148,37,Email Referral,Germany,Bronze,0.175,0,1769.17
CUST-10022,16,8,43.01,147,36,Google Ads,United Kingdom,Bronze,0.124,0,675.27
CUST-10023,21,12,142.44,128,26,Direct,United Kingdom,Standard,0.105,0,3065.65
CUST-10024,28,12,146.68,110,39,Paid Social,Germany,Bronze,0.127,0,3825.53
CUST-10025,70,6,123.55,113,49,Paid Social,France,Standard,0.099,1,305.07
CUST-10026,11,5,154.46,335,47,Google Ads,United Kingdom,Bronze,0.237,0,1646.25
CUST-10027,33,8,54.88,155,23,Organic Search,Australia,Standard,0.12,0,803.17
CUST-10028,41,4,117.72,209,34,Organic Search,United Kingdom,Standard,0.058,0,819.68
CUST-10029,3,11,63.64,160,54,Organic Search,United States,Gold,0.102,0,2692.37
CUST-10030,43,9,157.02,212,32,Direct,United Kingdom,Standard,0.249,0,2582.37
CUST-10031,9,5,136.78,243,24,Organic Search,United States,Silver,0.225,0,1874.9
CUST-10032,4,2,223.09,197,31,Google Ads,Indonesia,Standard,0.142,0,771.61
CUST-10033,134,7,104.78,206,37,Paid Social,United Kingdom,Bronze,0.164,1,424.74
CUST-10034,152,6,222.35,312,47,Organic Search,Germany,Standard,0.038,1,563.2
CUST-10035,75,7,117.22,140,35,Direct,United Kingdom,Bronze,0.22,0,1768.0
CUST-10036,17,8,180.47,191,39,Paid Social,France,Standard,0.069,0,2466.98
CUST-10037,5,9,79.4,121,42,Email Referral,United States,Gold,0.064,0,2759.05
CUST-10038,52,9,128.28,74,41,Organic Search,United Kingdom,Standard,0.139,0,2164.48
CUST-10039,27,12,120.86,280,48,Paid Social,United Kingdom,Standard,0.038,0,2621.82
CUST-10040,6,7,230.09,78,66,Email Referral,United Kingdom,Bronze,0.113,0,3399.88
CUST-10041,31,10,120.67,501,35,Paid Social,United Kingdom,Standard,0.07,0,2161.18
CUST-10042,2,3,121.41,76,51,Paid Social,United Kingdom,Gold,0.014,0,1380.34
CUST-10043,109,3,341.61,1148,35,Organic Search,United Kingdom,Standard,0.006,0,1845.5
CUST-10044,14,8,196.32,140,31,Google Ads,United Kingdom,Standard,0.019,0,2954.06
